[I 2025-04-07 02:55:29,127] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 03:19:50,923] Trial 170 finished with value: 0.8190997977369736 and parameters: {'iterations': 155, 'learning_rate': 0.341031021497257, 'objective': 'Logloss', 'colsample_bylevel': 0.4973204764029494, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.932771102999133}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:20:55,863] Trial 174 finished with value: 0.7959583946185032 and parameters: {'iterations': 164, 'learning_rate': 0.006637826004181557, 'objective': 'Logloss', 'colsample_bylevel': 0.5778817138787673, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9104575650003729}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:21:20,683] Trial 178 finished with value: 0.819477296810008 and parameters: {'iterations': 178, 'learning_rate': 0.23668765821428758, 'objective': 'Logloss', 'colsample_bylevel': 0.538292015627897, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9482004546705894}. Best is trial 135 with value: 0.8204832873804391.
[I 2025-04-07 03:21:47,463] Trial 181 finished with value: 0.8182618032161754 and parameters: {'iterations': 191, 'learning_rate': 0.44723377104507367, 'objective': 'Logloss', 'colsample_bylevel': 0.6217333758091973, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8797606104142632}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:22:50,339] Trial 186 finished with value: 0.8179259516993784 and parameters: {'iterations': 160, 'learning_rate': 0.4098979908476103, 'objective': 'Logloss', 'colsample_bylevel': 0.5600594733852751, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9031291216599187}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:23:54,862] Trial 189 finished with value: 0.8178424808588183 and parameters: {'iterations': 156, 'learning_rate': 0.3101928989155169, 'objective': 'Logloss', 'colsample_bylevel': 0.5835405882908026, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9207941298584811}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:25:01,005] Trial 193 finished with value: 0.818806595426501 and parameters: {'iterations': 175, 'learning_rate': 0.2637414179951187, 'objective': 'Logloss', 'colsample_bylevel': 0.5170601579901719, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9607566282491684}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:26:10,684] Trial 197 finished with value: 0.8191835848880876 and parameters: {'iterations': 187, 'learning_rate': 0.2992622603419253, 'objective': 'Logloss', 'colsample_bylevel': 0.48811752959059035, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9366053634319094}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:26:49,592] Trial 202 finished with value: 0.8186390386970815 and parameters: {'iterations': 195, 'learning_rate': 0.22533641023272774, 'objective': 'Logloss', 'colsample_bylevel': 0.45278568544799963, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9746593362975724}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:27:25,887] Trial 207 finished with value: 0.8175908558133486 and parameters: {'iterations': 104, 'learning_rate': 0.36548733309161446, 'objective': 'Logloss', 'colsample_bylevel': 0.4055343801795854, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9278761509553078}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:28:35,492] Trial 211 finished with value: 0.7944911002511155 and parameters: {'iterations': 182, 'learning_rate': 0.0033884602012990025, 'objective': 'Logloss', 'colsample_bylevel': 0.5339871029968544, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9490456364727747}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:29:37,497] Trial 218 finished with value: 0.8175487689368979 and parameters: {'iterations': 185, 'learning_rate': 0.31563753200881106, 'objective': 'Logloss', 'colsample_bylevel': 0.3577358028084803, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9158405602738247}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:29:51,356] Trial 222 finished with value: 0.8162914344859338 and parameters: {'iterations': 67, 'learning_rate': 0.25452469895360635, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9626136968877947, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8869898756631455}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:30:51,627] Trial 223 finished with value: 0.8195612069707817 and parameters: {'iterations': 139, 'learning_rate': 0.281529328703196, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6005533665760947, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.932470713449121}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:32:08,234] Trial 226 finished with value: 0.8195612596892072 and parameters: {'iterations': 187, 'learning_rate': 0.21692528101445702, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5834645216683145, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.96360979721468}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:33:07,320] Trial 230 finished with value: 0.8196032587016155 and parameters: {'iterations': 163, 'learning_rate': 0.20819209930259944, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.4389451814588244, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8537325680301123}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:34:30,879] Trial 234 finished with value: 0.8190160808770939 and parameters: {'iterations': 167, 'learning_rate': 0.18114998379358335, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9814334284737584, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8928237084990743}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:35:45,374] Trial 239 finished with value: 0.8192676004857123 and parameters: {'iterations': 160, 'learning_rate': 0.3495934293514782, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9943991316965218, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.963779421711662}. Best is trial 224 with value: 0.8208191388972359.
