[I 2025-04-07 03:57:39,089] A new study created in RDB with name: lightgbm
[I 2025-04-07 03:59:00,745] Trial 37 finished with value: 0.817716782559339 and parameters: {'lambda_l1': 4.886120405928977e-06, 'lambda_l2': 0.00018229115819626068, 'num_leaves': 22, 'feature_fraction': 0.45966333615006216, 'bagging_fraction': 0.4797154906825376, 'bagging_freq': 16, 'min_child_samples': 108}. Best is trial 33 with value: 0.8201484375137287.
[I 2025-04-07 03:59:02,679] Trial 38 finished with value: 0.8193097752262061 and parameters: {'lambda_l1': 7.87089166288308e-05, 'lambda_l2': 5.814600041004575e-08, 'num_leaves': 50, 'feature_fraction': 0.716691189732596, 'bagging_fraction': 0.9307753427696795, 'bagging_freq': 11, 'min_child_samples': 52}. Best is trial 33 with value: 0.8201484375137287.
[I 2025-04-07 03:59:05,377] Trial 39 finished with value: 0.8201901553612003 and parameters: {'lambda_l1': 0.008196880745708087, 'lambda_l2': 13.765202550294223, 'num_leaves': 75, 'feature_fraction': 0.6680273321350737, 'bagging_fraction': 0.8327236256949804, 'bagging_freq': 9, 'min_child_samples': 121}. Best is trial 39 with value: 0.8201901553612003.
[I 2025-04-07 03:59:07,942] Trial 40 finished with value: 0.8189745211848993 and parameters: {'lambda_l1': 0.008383405495309297, 'lambda_l2': 14.405939307920706, 'num_leaves': 72, 'feature_fraction': 0.6624265140774186, 'bagging_fraction': 0.6913900231528582, 'bagging_freq': 9, 'min_child_samples': 97}. Best is trial 39 with value: 0.8201901553612003.
[I 2025-04-07 03:59:11,647] Trial 41 finished with value: 0.8183877123893571 and parameters: {'lambda_l1': 0.19524042527570806, 'lambda_l2': 0.20214794459570024, 'num_leaves': 102, 'feature_fraction': 0.7058714651511245, 'bagging_fraction': 0.8345107525657811, 'bagging_freq': 11, 'min_child_samples': 120}. Best is trial 39 with value: 0.8201901553612003.
[I 2025-04-07 03:59:15,226] Trial 42 finished with value: 0.8170457297196609 and parameters: {'lambda_l1': 0.0008909104537212229, 'lambda_l2': 1.8828121143273508, 'num_leaves': 118, 'feature_fraction': 0.7438404622087434, 'bagging_fraction': 0.8215519305141717, 'bagging_freq': 7, 'min_child_samples': 110}. Best is trial 39 with value: 0.8201901553612003.
[I 2025-04-07 03:59:16,088] Trial 43 finished with value: 0.8120570026763388 and parameters: {'lambda_l1': 9.566175438861359e-08, 'lambda_l2': 0.00917175006996684, 'num_leaves': 8, 'feature_fraction': 0.6285168339448455, 'bagging_fraction': 0.6155494239325688, 'bagging_freq': 9, 'min_child_samples': 121}. Best is trial 39 with value: 0.8201901553612003.
[I 2025-04-07 03:59:17,444] Trial 44 finished with value: 0.8202741006675911 and parameters: {'lambda_l1': 0.04482567944550724, 'lambda_l2': 1.5261967770597057e-09, 'num_leaves': 25, 'feature_fraction': 0.5611428009203101, 'bagging_fraction': 0.8619477010993444, 'bagging_freq': 7, 'min_child_samples': 105}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:18,696] Trial 45 finished with value: 0.8183454849304381 and parameters: {'lambda_l1': 0.028381345886605833, 'lambda_l2': 1.28319717083912e-08, 'num_leaves': 24, 'feature_fraction': 0.5893502174885109, 'bagging_fraction': 0.8841830159095398, 'bagging_freq': 6, 'min_child_samples': 105}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:19,637] Trial 46 finished with value: 0.8172557072088933 and parameters: {'lambda_l1': 0.005746874384788066, 'lambda_l2': 2.8460012774692395e-07, 'num_leaves': 13, 'feature_fraction': 0.5457576170113506, 'bagging_fraction': 0.9632916896048718, 'bagging_freq': 7, 'min_child_samples': 97}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:21,913] Trial 47 finished with value: 0.8201899620603064 and parameters: {'lambda_l1': 0.8363731546726404, 'lambda_l2': 17.189135961997668, 'num_leaves': 35, 'feature_fraction': 0.6572041112323894, 'bagging_fraction': 0.8547805575804045, 'bagging_freq': 6, 'min_child_samples': 79}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:23,834] Trial 48 finished with value: 0.8195611718251646 and parameters: {'lambda_l1': 0.9865000752579669, 'lambda_l2': 17.626469103234452, 'num_leaves': 41, 'feature_fraction': 0.6853801071252512, 'bagging_fraction': 0.9298541109888421, 'bagging_freq': 6, 'min_child_samples': 78}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:25,144] Trial 49 finished with value: 0.8132311650244878 and parameters: {'lambda_l1': 7.61315912251163, 'lambda_l2': 85.9057515454563, 'num_leaves': 32, 'feature_fraction': 0.6450287996124536, 'bagging_fraction': 0.6489232296822275, 'bagging_freq': 8, 'min_child_samples': 87}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:25,879] Trial 50 finished with value: 0.8120988962518958 and parameters: {'lambda_l1': 0.0020423949964835353, 'lambda_l2': 1.6750082574379128e-05, 'num_leaves': 8, 'feature_fraction': 0.5648664419623487, 'bagging_fraction': 0.7968867909536526, 'bagging_freq': 10, 'min_child_samples': 67}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:27,231] Trial 51 finished with value: 0.8188486120117175 and parameters: {'lambda_l1': 0.05415630025588055, 'lambda_l2': 2.7753273972033666e-09, 'num_leaves': 25, 'feature_fraction': 0.6082666562937198, 'bagging_fraction': 0.8516384193416052, 'bagging_freq': 6, 'min_child_samples': 99}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:29,606] Trial 52 finished with value: 0.8192258123470066 and parameters: {'lambda_l1': 0.22565123445238552, 'lambda_l2': 7.091034967139246, 'num_leaves': 55, 'feature_fraction': 0.7306119193724055, 'bagging_fraction': 0.8797057733396279, 'bagging_freq': 7, 'min_child_samples': 81}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:31,840] Trial 53 finished with value: 0.8186386872409109 and parameters: {'lambda_l1': 1.4608837760128108, 'lambda_l2': 0.8862305083777131, 'num_leaves': 37, 'feature_fraction': 0.7574512773064941, 'bagging_fraction': 0.5964120459564528, 'bagging_freq': 4, 'min_child_samples': 111}. Best is trial 44 with value: 0.8202741006675911.
[I 2025-04-07 03:59:33,810] Trial 54 finished with value: 0.8203159766703395 and parameters: {'lambda_l1': 0.06935904053716467, 'lambda_l2': 20.934991048861406, 'num_leaves': 45, 'feature_fraction': 0.6573141377320841, 'bagging_fraction': 0.8320871083270774, 'bagging_freq': 5, 'min_child_samples': 89}. Best is trial 54 with value: 0.8203159766703395.
[I 2025-04-07 03:59:35,493] Trial 55 finished with value: 0.8203995353749421 and parameters: {'lambda_l1': 0.00022473988660972631, 'lambda_l2': 30.727676185956057, 'num_leaves': 42, 'feature_fraction': 0.6646981937917319, 'bagging_fraction': 0.811954570508133, 'bagging_freq': 7, 'min_child_samples': 91}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:37,526] Trial 56 finished with value: 0.8199803184544363 and parameters: {'lambda_l1': 0.00019128505581122242, 'lambda_l2': 34.323758066368995, 'num_leaves': 45, 'feature_fraction': 0.6587325019820303, 'bagging_fraction': 0.820486164754129, 'bagging_freq': 7, 'min_child_samples': 76}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:38,761] Trial 57 finished with value: 0.8178844271528009 and parameters: {'lambda_l1': 0.009386986615271995, 'lambda_l2': 23.06468516635795, 'num_leaves': 19, 'feature_fraction': 0.5251654837376665, 'bagging_fraction': 0.8333009373468038, 'bagging_freq': 5, 'min_child_samples': 86}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:41,998] Trial 58 finished with value: 0.8167942979750853 and parameters: {'lambda_l1': 0.06625611294331529, 'lambda_l2': 1.1683850270312104e-09, 'num_leaves': 91, 'feature_fraction': 0.6179334319891325, 'bagging_fraction': 0.9111443615899923, 'bagging_freq': 6, 'min_child_samples': 57}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:43,265] Trial 59 finished with value: 0.8192679167962661 and parameters: {'lambda_l1': 0.0015166842417824098, 'lambda_l2': 3.6879275764538466, 'num_leaves': 27, 'feature_fraction': 0.5620440060346519, 'bagging_fraction': 0.770340789036762, 'bagging_freq': 8, 'min_child_samples': 95}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:44,772] Trial 60 finished with value: 0.8198127441522086 and parameters: {'lambda_l1': 0.403533613572032, 'lambda_l2': 8.820185606051968, 'num_leaves': 34, 'feature_fraction': 0.6752202056216262, 'bagging_fraction': 0.7985567816785466, 'bagging_freq': 3, 'min_child_samples': 114}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:47,025] Trial 61 finished with value: 0.8201900499243491 and parameters: {'lambda_l1': 0.00015400644640718405, 'lambda_l2': 53.15972343760781, 'num_leaves': 76, 'feature_fraction': 0.6504523859352754, 'bagging_fraction': 0.8121163991453764, 'bagging_freq': 7, 'min_child_samples': 76}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:49,194] Trial 62 finished with value: 0.8163330820421713 and parameters: {'lambda_l1': 4.7066129515940974e-05, 'lambda_l2': 94.1843618810819, 'num_leaves': 76, 'feature_fraction': 0.6490331591881078, 'bagging_fraction': 0.8678618494243568, 'bagging_freq': 7, 'min_child_samples': 82}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:52,689] Trial 63 finished with value: 0.8189320828522778 and parameters: {'lambda_l1': 0.0002177457642545218, 'lambda_l2': 41.1792001393885, 'num_leaves': 83, 'feature_fraction': 0.6035237473796385, 'bagging_fraction': 0.8439838727489659, 'bagging_freq': 5, 'min_child_samples': 63}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:55,038] Trial 64 finished with value: 0.819854883747085 and parameters: {'lambda_l1': 5.14205263186204e-06, 'lambda_l2': 13.265732901536795, 'num_leaves': 62, 'feature_fraction': 0.5733914926753458, 'bagging_fraction': 0.8073318979863052, 'bagging_freq': 6, 'min_child_samples': 74}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:57,326] Trial 65 finished with value: 0.8202736789201861 and parameters: {'lambda_l1': 0.019789843467713196, 'lambda_l2': 1.2916166717936284, 'num_leaves': 71, 'feature_fraction': 0.6285210126225698, 'bagging_fraction': 0.7481083628329351, 'bagging_freq': 4, 'min_child_samples': 69}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 03:59:59,903] Trial 66 finished with value: 0.8188904177232317 and parameters: {'lambda_l1': 0.027827320748625806, 'lambda_l2': 35.655169688085635, 'num_leaves': 68, 'feature_fraction': 0.6302645699768115, 'bagging_fraction': 0.7578620689124018, 'bagging_freq': 4, 'min_child_samples': 69}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 04:00:03,346] Trial 67 finished with value: 0.8175487513640892 and parameters: {'lambda_l1': 0.01702601977669237, 'lambda_l2': 1.7494573451189892, 'num_leaves': 76, 'feature_fraction': 0.6780149590549532, 'bagging_fraction': 0.7830806911314991, 'bagging_freq': 2, 'min_child_samples': 48}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 04:00:06,384] Trial 68 finished with value: 0.8187645436956672 and parameters: {'lambda_l1': 0.09361846440505496, 'lambda_l2': 4.674824188683591, 'num_leaves': 88, 'feature_fraction': 0.6576131766795199, 'bagging_fraction': 0.7376576455629581, 'bagging_freq': 5, 'min_child_samples': 64}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 04:00:08,648] Trial 69 finished with value: 0.8188488053126115 and parameters: {'lambda_l1': 0.3993370197155798, 'lambda_l2': 9.71754266548824e-07, 'num_leaves': 68, 'feature_fraction': 0.6958001323377301, 'bagging_fraction': 0.872155947102452, 'bagging_freq': 3, 'min_child_samples': 19}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 04:00:10,832] Trial 70 finished with value: 0.8193515985105287 and parameters: {'lambda_l1': 0.004150289021804755, 'lambda_l2': 9.483676640077478, 'num_leaves': 59, 'feature_fraction': 0.6330805384982654, 'bagging_fraction': 0.9062194373346427, 'bagging_freq': 8, 'min_child_samples': 79}. Best is trial 55 with value: 0.8203995353749421.
[I 2025-04-07 04:00:13,784] Trial 71 finished with value: 0.8177164486759768 and parameters: {'lambda_l1': 0.0014782257499132384, 'lambda_l2': 1.216675135434599, 'num_leaves': 79, 'feature_fraction': 0.6061696155734093, 'bagging_fraction': 0.7218875535949263, 'bagging_freq': 7, 'min_child_samples': 90}. Best is trial 55 with value: 0.8203995353749421.
