[I 2025-04-07 02:55:29,052] Using an existing study with name 'catboost' instead of creating a new one.
[I 2025-04-07 03:30:02,534] Trial 219 finished with value: 0.8196029775366789 and parameters: {'iterations': 185, 'learning_rate': 0.25782660291561055, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5446175219671474, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9154813339934087}. Best is trial 177 with value: 0.8206089681071098.
[I 2025-04-07 03:31:16,463] Trial 225 finished with value: 0.8200643691976783 and parameters: {'iterations': 187, 'learning_rate': 0.2128692111284557, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.43748062885491695, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9308630657944942}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:32:14,649] Trial 229 finished with value: 0.8152431110197325 and parameters: {'iterations': 163, 'learning_rate': 0.21699746456900815, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.4483152191054323, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.10548474901107657}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:33:30,183] Trial 231 finished with value: 0.819351862102657 and parameters: {'iterations': 182, 'learning_rate': 0.22958252527043016, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6251647184280685, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8637426442010642}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:34:52,259] Trial 235 finished with value: 0.8193937381054053 and parameters: {'iterations': 161, 'learning_rate': 0.1634992506245424, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9864031315759095, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.8920202316718983}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:35:21,532] Trial 240 finished with value: 0.8191000261834848 and parameters: {'iterations': 160, 'learning_rate': 0.36962239643559, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.9535392852334972, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.963432591223943}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:36:01,561] Trial 243 finished with value: 0.8169619952869727 and parameters: {'iterations': 186, 'learning_rate': 0.28098019341397595, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5710236051234168, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9402657508450567}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:36:27,090] Trial 247 finished with value: 0.8188485241476748 and parameters: {'iterations': 193, 'learning_rate': 0.293496319924372, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.5920927347894225, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.92190108936303}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:36:51,467] Trial 251 finished with value: 0.818974380602431 and parameters: {'iterations': 180, 'learning_rate': 0.24881392766052168, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6135985562183226, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.908757772666319}. Best is trial 224 with value: 0.8208191388972359.
[I 2025-04-07 03:37:17,572] Trial 255 finished with value: 0.8061036163082693 and parameters: {'iterations': 182, 'learning_rate': 0.2544012129748389, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.6651431603743211, 'depth': 7, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.925315081457573}. Best is trial 224 with value: 0.8208191388972359.
