[I 2025-04-07 06:01:59,126] A new study created in RDB with name: xgboost
[I 2025-04-07 06:04:44,569] Trial 39 finished with value: 0.6377394866279713 and parameters: {'max_depth': 28, 'learning_rate': 0.002092977572538965, 'n_estimators': 114, 'gamma': 0.41727294747630217, 'min_child_weight': 4, 'subsample': 0.5554567769154967, 'colsample_bytree': 0.8871540508934979}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:45,697] Trial 40 finished with value: 0.8105058157209861 and parameters: {'max_depth': 4, 'learning_rate': 0.3921712082609424, 'n_estimators': 164, 'gamma': 0.3590960408570774, 'min_child_weight': 3, 'subsample': 0.7176124761714506, 'colsample_bytree': 0.9268203422073474}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:50,548] Trial 41 finished with value: 0.8157459217904582 and parameters: {'max_depth': 30, 'learning_rate': 0.05064093787371009, 'n_estimators': 184, 'gamma': 0.3352670290003156, 'min_child_weight': 6, 'subsample': 0.5900037213752652, 'colsample_bytree': 0.9512638584015547}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:04:56,106] Trial 42 finished with value: 0.8174229827733758 and parameters: {'max_depth': 27, 'learning_rate': 0.03240716889173479, 'n_estimators': 208, 'gamma': 0.30189501489887144, 'min_child_weight': 6, 'subsample': 0.5725286934248734, 'colsample_bytree': 0.9664872242767829}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:00,263] Trial 43 finished with value: 0.8065227629375411 and parameters: {'max_depth': 31, 'learning_rate': 0.16435227783193182, 'n_estimators': 168, 'gamma': 0.38794535561602317, 'min_child_weight': 5, 'subsample': 0.611232434533433, 'colsample_bytree': 0.9297884637105944}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:07,501] Trial 44 finished with value: 0.818345449784821 and parameters: {'max_depth': 29, 'learning_rate': 0.008777260227956322, 'n_estimators': 246, 'gamma': 0.44514829132567013, 'min_child_weight': 6, 'subsample': 0.7613722470344948, 'colsample_bytree': 0.8438309322005928}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:12,824] Trial 45 finished with value: 0.6377394866279713 and parameters: {'max_depth': 13, 'learning_rate': 0.0009620414610032747, 'n_estimators': 277, 'gamma': 0.45167601240892113, 'min_child_weight': 7, 'subsample': 0.7728170102709753, 'colsample_bytree': 0.8541465517586435}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:20,911] Trial 46 finished with value: 0.8172973899107477 and parameters: {'max_depth': 25, 'learning_rate': 0.0066046045942228125, 'n_estimators': 252, 'gamma': 0.530436468717401, 'min_child_weight': 5, 'subsample': 0.8113900690257588, 'colsample_bytree': 0.7728928850996696}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:29,584] Trial 47 finished with value: 0.8195194891233102 and parameters: {'max_depth': 23, 'learning_rate': 0.010270500878491459, 'n_estimators': 291, 'gamma': 0.4741373896922284, 'min_child_weight': 6, 'subsample': 0.8720045930224913, 'colsample_bytree': 0.7291021823420558}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:32,464] Trial 48 finished with value: 0.6377394866279713 and parameters: {'max_depth': 7, 'learning_rate': 0.00027049036013463725, 'n_estimators': 300, 'gamma': 0.5612710746624744, 'min_child_weight': 6, 'subsample': 0.8668837451994138, 'colsample_bytree': 0.7219251472656385}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:39,923] Trial 49 finished with value: 0.8055590173988378 and parameters: {'max_depth': 27, 'learning_rate': 0.004127336375640401, 'n_estimators': 251, 'gamma': 0.47762143465115386, 'min_child_weight': 7, 'subsample': 0.8645949520223972, 'colsample_bytree': 0.6905282144391016}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:05:53,472] Trial 50 finished with value: 0.8182197163397247 and parameters: {'max_depth': 31, 'learning_rate': 0.009697530232205277, 'n_estimators': 262, 'gamma': 0.4418546995648873, 'min_child_weight': 6, 'subsample': 0.9923181551059184, 'colsample_bytree': 0.8442095309344086}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:01,560] Trial 51 finished with value: 0.8169617668404617 and parameters: {'max_depth': 23, 'learning_rate': 0.024578212014358204, 'n_estimators': 278, 'gamma': 0.5062213126015134, 'min_child_weight': 5, 'subsample': 0.7499674536308603, 'colsample_bytree': 0.7605234564904004}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:05,934] Trial 52 finished with value: 0.8142365054010028 and parameters: {'max_depth': 20, 'learning_rate': 0.07355919133311803, 'n_estimators': 289, 'gamma': 0.46819390213485923, 'min_child_weight': 6, 'subsample': 0.9504439605253566, 'colsample_bytree': 0.7033810803607933}. Best is trial 22 with value: 0.8198546553005741.
[I 2025-04-07 06:06:13,204] Trial 53 finished with value: 0.8154529127808793 and parameters: {'max_depth': 22, 'learning_rate': 0.01377455144748888, 'n_estimators': 239, 'gamma': 0.4178878113798063, 'min_child_weight': 4, 'subsample': 0.675659547077884, 'colsample_bytree': 0.5010535522169759}. Best is trial 22 with value: 0.8198546553005741.
