[I 2025-04-08 00:10:28,845] A new study created in RDB with name: lightgbm-num_features-13
[I 2025-04-08 00:12:03,902] Trial 43 finished with value: 0.8195612421163988 and parameters: {'lambda_l1': 3.679064783211045e-07, 'lambda_l2': 0.0011906010499441223, 'num_leaves': 17, 'feature_fraction': 0.7289202083545737, 'bagging_fraction': 0.8259741816563482, 'bagging_freq': 2, 'min_child_samples': 108}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:05,456] Trial 44 finished with value: 0.8198127265794002 and parameters: {'lambda_l1': 4.319047474977923e-06, 'lambda_l2': 0.009581612082857969, 'num_leaves': 37, 'feature_fraction': 0.6165303914634385, 'bagging_fraction': 0.8996866047396526, 'bagging_freq': 5, 'min_child_samples': 82}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:06,799] Trial 45 finished with value: 0.8195193661136504 and parameters: {'lambda_l1': 4.642274377147278e-09, 'lambda_l2': 0.033729047794185237, 'num_leaves': 29, 'feature_fraction': 0.5436000762015838, 'bagging_fraction': 0.7536733720431282, 'bagging_freq': 3, 'min_child_samples': 68}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:08,896] Trial 46 finished with value: 0.817590926104583 and parameters: {'lambda_l1': 9.549138362881629e-08, 'lambda_l2': 8.917594338726322e-05, 'num_leaves': 59, 'feature_fraction': 0.5787193703416784, 'bagging_fraction': 0.9621616041998249, 'bagging_freq': 1, 'min_child_samples': 74}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:10,961] Trial 47 finished with value: 0.8181777349001249 and parameters: {'lambda_l1': 0.0003086375058874114, 'lambda_l2': 1.047612351844847e-05, 'num_leaves': 49, 'feature_fraction': 0.6612164148449007, 'bagging_fraction': 0.5042489649775949, 'bagging_freq': 4, 'min_child_samples': 117}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:14,245] Trial 48 finished with value: 0.8183873082147608 and parameters: {'lambda_l1': 2.8888369080795984e-05, 'lambda_l2': 0.25484604846086845, 'num_leaves': 87, 'feature_fraction': 0.47932457670262524, 'bagging_fraction': 0.8575570540453681, 'bagging_freq': 2, 'min_child_samples': 113}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:15,066] Trial 49 finished with value: 0.8158303239898711 and parameters: {'lambda_l1': 1.737337838539763e-09, 'lambda_l2': 1.4108294414044412e-09, 'num_leaves': 12, 'feature_fraction': 0.4467122761646902, 'bagging_fraction': 0.8161127166245484, 'bagging_freq': 6, 'min_child_samples': 42}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:17,148] Trial 50 finished with value: 0.8191839363442582 and parameters: {'lambda_l1': 4.60603998242838, 'lambda_l2': 0.0059543260893870605, 'num_leaves': 58, 'feature_fraction': 0.609974087069269, 'bagging_fraction': 0.9599936587431396, 'bagging_freq': 11, 'min_child_samples': 127}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:18,989] Trial 51 finished with value: 0.8180102484619398 and parameters: {'lambda_l1': 3.4938899163852356e-06, 'lambda_l2': 4.200366489179296e-05, 'num_leaves': 51, 'feature_fraction': 0.49850399875794116, 'bagging_fraction': 0.7150533976859987, 'bagging_freq': 4, 'min_child_samples': 57}. Best is trial 27 with value: 0.8206513185756888.
[I 2025-04-08 00:12:21,523] Trial 52 finished with value: 0.8189324518812571 and parameters: {'lambda_l1': 4.003940526997575e-06, 'lambda_l2': 0.00045731052788478124, 'num_leaves': 67, 'feature_fraction': 0.5221570049410053, 'bagging_fraction': 0.7340487342089758, 'bagging_freq': 3, 'min_child_samples': 62}. Best is trial 27 with value: 0.8206513185756888.
