[I 2025-04-08 19:29:23,868] A new study created in RDB with name: xgboost-num_features-13
[I 2025-04-08 19:32:57,387] Trial 38 finished with value: 0.8058941132848675 and parameters: {'max_depth': 24, 'learning_rate': 0.15187056438388793, 'n_estimators': 259, 'gamma': 0.1706164766292613, 'min_child_weight': 3, 'subsample': 0.5754096150456671, 'colsample_bytree': 0.8819361046644427}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:32:59,261] Trial 39 finished with value: 0.6377394866279713 and parameters: {'max_depth': 21, 'learning_rate': 0.002783582415341358, 'n_estimators': 61, 'gamma': 0.22871066820639976, 'min_child_weight': 6, 'subsample': 0.6694029441856206, 'colsample_bytree': 0.7821655401653732}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:07,050] Trial 40 finished with value: 0.8175068929341494 and parameters: {'max_depth': 29, 'learning_rate': 0.008573419428531865, 'n_estimators': 228, 'gamma': 0.278390389294671, 'min_child_weight': 4, 'subsample': 0.6972766699089591, 'colsample_bytree': 0.8315096333540357}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:12,062] Trial 41 finished with value: 0.8192679870875003 and parameters: {'max_depth': 16, 'learning_rate': 0.018956500736277058, 'n_estimators': 235, 'gamma': 0.2533207817406931, 'min_child_weight': 5, 'subsample': 0.5449024328015475, 'colsample_bytree': 0.9315850770089373}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:18,133] Trial 42 finished with value: 0.8201902783708601 and parameters: {'max_depth': 18, 'learning_rate': 0.010862856692920489, 'n_estimators': 239, 'gamma': 0.2023550622877375, 'min_child_weight': 5, 'subsample': 0.5748687964632164, 'colsample_bytree': 0.8794426415350008}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:23,978] Trial 43 finished with value: 0.8155785935075501 and parameters: {'max_depth': 19, 'learning_rate': 0.03918417612503705, 'n_estimators': 272, 'gamma': 0.20456578937615338, 'min_child_weight': 6, 'subsample': 0.616633354639936, 'colsample_bytree': 0.7986080360672686}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:29,137] Trial 44 finished with value: 0.806062039043266 and parameters: {'max_depth': 13, 'learning_rate': 0.0036292257904145964, 'n_estimators': 243, 'gamma': 0.1492119869680959, 'min_child_weight': 5, 'subsample': 0.5821281435309107, 'colsample_bytree': 0.8591017356706016}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:31,300] Trial 45 finished with value: 0.8010313657059612 and parameters: {'max_depth': 20, 'learning_rate': 0.009862007505278025, 'n_estimators': 78, 'gamma': 0.3194986691908218, 'min_child_weight': 4, 'subsample': 0.5265311577084667, 'colsample_bytree': 0.8878639051240641}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:36,980] Trial 46 finished with value: 0.8145723217721826 and parameters: {'max_depth': 25, 'learning_rate': 0.025671984441194968, 'n_estimators': 213, 'gamma': 0.21596727054800902, 'min_child_weight': 5, 'subsample': 0.752695331567445, 'colsample_bytree': 0.5018511737308434}. Best is trial 0 with value: 0.8209028733299242.
[I 2025-04-08 19:33:42,780] Trial 47 finished with value: 0.814153016987634 and parameters: {'max_depth': 15, 'learning_rate': 0.04916209567211756, 'n_estimators': 282, 'gamma': 0.19236683982837288, 'min_child_weight': 5, 'subsample': 0.6002417309314407, 'colsample_bytree': 0.9742709457071392}. Best is trial 0 with value: 0.8209028733299242.
