[I 2025-04-07 22:11:31,310] Trial 0 finished with value: 0.8174648763489328 and parameters: {'n_estimators': 108, 'criterion': 'gini', 'max_depth': 54, 'min_samples_split': 10, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:11:42,847] Trial 1 finished with value: 0.7887896552390692 and parameters: {'n_estimators': 190, 'criterion': 'entropy', 'max_depth': 6, 'min_samples_split': 11, 'min_samples_leaf': 15}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:11:54,960] Trial 2 finished with value: 0.8150335728507138 and parameters: {'n_estimators': 170, 'criterion': 'gini', 'max_depth': 60, 'min_samples_split': 3, 'min_samples_leaf': 9}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:12:02,610] Trial 3 finished with value: 0.8131470967084372 and parameters: {'n_estimators': 86, 'criterion': 'gini', 'max_depth': 62, 'min_samples_split': 7, 'min_samples_leaf': 19}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:12:13,025] Trial 4 finished with value: 0.804762547424617 and parameters: {'n_estimators': 116, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 2, 'min_samples_leaf': 1}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:12:23,073] Trial 5 finished with value: 0.8145724799274594 and parameters: {'n_estimators': 120, 'criterion': 'gini', 'max_depth': 57, 'min_samples_split': 11, 'min_samples_leaf': 12}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:12:38,190] Trial 6 finished with value: 0.8128534550777509 and parameters: {'n_estimators': 185, 'criterion': 'gini', 'max_depth': 21, 'min_samples_split': 11, 'min_samples_leaf': 18}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:12:48,816] Trial 7 finished with value: 0.8097931856163048 and parameters: {'n_estimators': 156, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 18, 'min_samples_leaf': 15}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:12:54,922] Trial 8 finished with value: 0.8150754137078451 and parameters: {'n_estimators': 81, 'criterion': 'entropy', 'max_depth': 43, 'min_samples_split': 16, 'min_samples_leaf': 13}. Best is trial 0 with value: 0.8174648763489328.
[I 2025-04-07 22:13:07,951] Trial 9 finished with value: 0.8175071038078519 and parameters: {'n_estimators': 184, 'criterion': 'entropy', 'max_depth': 29, 'min_samples_split': 7, 'min_samples_leaf': 2}. Best is trial 9 with value: 0.8175071038078519.
[I 2025-04-07 22:13:10,111] Trial 10 finished with value: 0.8141529994148256 and parameters: {'n_estimators': 15, 'criterion': 'entropy', 'max_depth': 30, 'min_samples_split': 7, 'min_samples_leaf': 6}. Best is trial 9 with value: 0.8175071038078519.
[I 2025-04-07 22:13:14,822] Trial 11 finished with value: 0.8157039403508588 and parameters: {'n_estimators': 40, 'criterion': 'entropy', 'max_depth': 43, 'min_samples_split': 7, 'min_samples_leaf': 1}. Best is trial 9 with value: 0.8175071038078519.
[I 2025-04-07 22:13:26,052] Trial 12 finished with value: 0.8170039942993809 and parameters: {'n_estimators': 150, 'criterion': 'gini', 'max_depth': 42, 'min_samples_split': 14, 'min_samples_leaf': 5}. Best is trial 9 with value: 0.8175071038078519.
[I 2025-04-07 22:13:36,117] Trial 13 finished with value: 0.8181778227641677 and parameters: {'n_estimators': 138, 'criterion': 'entropy', 'max_depth': 28, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:13:47,515] Trial 14 finished with value: 0.8176328548257568 and parameters: {'n_estimators': 147, 'criterion': 'entropy', 'max_depth': 26, 'min_samples_split': 5, 'min_samples_leaf': 5}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:13:57,662] Trial 15 finished with value: 0.8165008320724843 and parameters: {'n_estimators': 138, 'criterion': 'entropy', 'max_depth': 21, 'min_samples_split': 4, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:14:07,127] Trial 16 finished with value: 0.8166266006631977 and parameters: {'n_estimators': 135, 'criterion': 'entropy', 'max_depth': 21, 'min_samples_split': 5, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:14:13,100] Trial 17 finished with value: 0.8161656483224118 and parameters: {'n_estimators': 82, 'criterion': 'entropy', 'max_depth': 35, 'min_samples_split': 5, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:14:18,094] Trial 18 finished with value: 0.8147820180964782 and parameters: {'n_estimators': 59, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 2, 'min_samples_leaf': 4}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:14:30,105] Trial 19 finished with value: 0.8165846192235982 and parameters: {'n_estimators': 161, 'criterion': 'entropy', 'max_depth': 36, 'min_samples_split': 20, 'min_samples_leaf': 7}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:14:38,226] Trial 20 finished with value: 0.7527765388947758 and parameters: {'n_estimators': 132, 'criterion': 'entropy', 'max_depth': 2, 'min_samples_split': 9, 'min_samples_leaf': 9}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:14:51,508] Trial 21 finished with value: 0.8176745551004199 and parameters: {'n_estimators': 177, 'criterion': 'entropy', 'max_depth': 28, 'min_samples_split': 8, 'min_samples_leaf': 3}. Best is trial 13 with value: 0.8181778227641677.
[I 2025-04-07 22:15:04,254] Trial 22 finished with value: 0.8188487350213773 and parameters: {'n_estimators': 171, 'criterion': 'entropy', 'max_depth': 26, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:15:17,197] Trial 23 finished with value: 0.8171715686016086 and parameters: {'n_estimators': 174, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 13, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:15:31,874] Trial 24 finished with value: 0.8181357358877168 and parameters: {'n_estimators': 193, 'criterion': 'entropy', 'max_depth': 38, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:15:46,609] Trial 25 finished with value: 0.8165427432208497 and parameters: {'n_estimators': 198, 'criterion': 'entropy', 'max_depth': 49, 'min_samples_split': 13, 'min_samples_leaf': 7}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:16:00,878] Trial 26 finished with value: 0.8180518960181773 and parameters: {'n_estimators': 198, 'criterion': 'entropy', 'max_depth': 38, 'min_samples_split': 9, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:16:12,937] Trial 27 finished with value: 0.8180521420374969 and parameters: {'n_estimators': 164, 'criterion': 'entropy', 'max_depth': 33, 'min_samples_split': 9, 'min_samples_leaf': 5}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:16:22,528] Trial 28 finished with value: 0.8148658403932092 and parameters: {'n_estimators': 127, 'criterion': 'entropy', 'max_depth': 48, 'min_samples_split': 6, 'min_samples_leaf': 11}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:16:31,407] Trial 29 finished with value: 0.8162072431602236 and parameters: {'n_estimators': 94, 'criterion': 'entropy', 'max_depth': 17, 'min_samples_split': 13, 'min_samples_leaf': 1}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:16:40,703] Trial 30 finished with value: 0.8164589736425445 and parameters: {'n_estimators': 113, 'criterion': 'entropy', 'max_depth': 51, 'min_samples_split': 10, 'min_samples_leaf': 8}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:16:54,668] Trial 31 finished with value: 0.817884497444035 and parameters: {'n_estimators': 163, 'criterion': 'entropy', 'max_depth': 33, 'min_samples_split': 9, 'min_samples_leaf': 5}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:17:07,530] Trial 32 finished with value: 0.817213637905251 and parameters: {'n_estimators': 150, 'criterion': 'entropy', 'max_depth': 39, 'min_samples_split': 10, 'min_samples_leaf': 2}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:17:22,013] Trial 33 finished with value: 0.8181776821816993 and parameters: {'n_estimators': 170, 'criterion': 'entropy', 'max_depth': 32, 'min_samples_split': 8, 'min_samples_leaf': 4}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:17:38,552] Trial 34 finished with value: 0.8183874663700378 and parameters: {'n_estimators': 176, 'criterion': 'entropy', 'max_depth': 31, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:17:54,636] Trial 35 finished with value: 0.8170040118721895 and parameters: {'n_estimators': 174, 'criterion': 'gini', 'max_depth': 29, 'min_samples_split': 3, 'min_samples_leaf': 6}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:18:04,929] Trial 36 finished with value: 0.8163750634817708 and parameters: {'n_estimators': 102, 'criterion': 'entropy', 'max_depth': 24, 'min_samples_split': 4, 'min_samples_leaf': 4}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:18:16,140] Trial 37 finished with value: 0.8179261098546553 and parameters: {'n_estimators': 143, 'criterion': 'gini', 'max_depth': 32, 'min_samples_split': 6, 'min_samples_leaf': 2}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:18:32,803] Trial 38 finished with value: 0.8136082072045001 and parameters: {'n_estimators': 184, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 3, 'min_samples_leaf': 10}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:18:43,698] Trial 39 finished with value: 0.8133987041810984 and parameters: {'n_estimators': 125, 'criterion': 'gini', 'max_depth': 24, 'min_samples_split': 6, 'min_samples_leaf': 17}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:18:57,047] Trial 40 finished with value: 0.8042175267677806 and parameters: {'n_estimators': 167, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 8, 'min_samples_leaf': 6}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:19:13,258] Trial 41 finished with value: 0.8183873960788036 and parameters: {'n_estimators': 192, 'criterion': 'entropy', 'max_depth': 39, 'min_samples_split': 12, 'min_samples_leaf': 3}. Best is trial 22 with value: 0.8188487350213773.
[I 2025-04-07 22:19:31,147] Trial 42 finished with value: 0.8189324343084484 and parameters: {'n_estimators': 187, 'criterion': 'entropy', 'max_depth': 45, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 42 with value: 0.8189324343084484.
[I 2025-04-07 22:19:48,895] Trial 43 finished with value: 0.8188486471573346 and parameters: {'n_estimators': 189, 'criterion': 'entropy', 'max_depth': 56, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 42 with value: 0.8189324343084484.
[I 2025-04-07 22:20:05,169] Trial 44 finished with value: 0.8188066832905434 and parameters: {'n_estimators': 187, 'criterion': 'entropy', 'max_depth': 54, 'min_samples_split': 12, 'min_samples_leaf': 1}. Best is trial 42 with value: 0.8189324343084484.
[I 2025-04-07 22:20:21,150] Trial 45 finished with value: 0.818387378505995 and parameters: {'n_estimators': 182, 'criterion': 'entropy', 'max_depth': 58, 'min_samples_split': 16, 'min_samples_leaf': 1}. Best is trial 42 with value: 0.8189324343084484.
[I 2025-04-07 22:20:37,095] Trial 46 finished with value: 0.818848559293292 and parameters: {'n_estimators': 200, 'criterion': 'entropy', 'max_depth': 63, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 42 with value: 0.8189324343084484.
[I 2025-04-07 22:20:53,869] Trial 47 finished with value: 0.8188065251352666 and parameters: {'n_estimators': 189, 'criterion': 'gini', 'max_depth': 64, 'min_samples_split': 15, 'min_samples_leaf': 1}. Best is trial 42 with value: 0.8189324343084484.
