[I 2025-04-07 22:00:09,568] A new study created in RDB with name: catboost-num_features-13
[I 2025-04-07 22:13:41,649] Trial 11 finished with value: 0.8132727247166824 and parameters: {'iterations': 65, 'learning_rate': 0.8447643575885732, 'objective': 'Logloss', 'colsample_bylevel': 0.4297941806108586, 'depth': 6, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9688644226961854}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:48,568] Trial 12 finished with value: 0.8175906449396461 and parameters: {'iterations': 140, 'learning_rate': 0.22351038766050044, 'objective': 'Logloss', 'colsample_bylevel': 0.4163884136555669, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6343862539359781}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:13:56,038] Trial 13 finished with value: 0.8162492421726316 and parameters: {'iterations': 143, 'learning_rate': 0.10924393488749543, 'objective': 'Logloss', 'colsample_bylevel': 0.5177396842397184, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7660427792615965}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:14:02,786] Trial 14 finished with value: 0.789376323452143 and parameters: {'iterations': 188, 'learning_rate': 0.005534275520546501, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.31113239558365835, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.7392747524481096}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:14:09,326] Trial 15 finished with value: 0.8172555841992335 and parameters: {'iterations': 146, 'learning_rate': 0.3341753442230996, 'objective': 'Logloss', 'colsample_bylevel': 0.7456428809793603, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.6451846281188028}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:14:14,417] Trial 16 finished with value: 0.8152431813109666 and parameters: {'iterations': 181, 'learning_rate': 0.10674562753692705, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.25793605721501406, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.9506922113719478}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:14:27,737] Trial 17 finished with value: 0.7935687913949472 and parameters: {'iterations': 121, 'learning_rate': 0.007339396501178843, 'objective': 'Logloss', 'colsample_bylevel': 0.49966268621082427, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.83536215506494}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:14:31,843] Trial 18 finished with value: 0.8131050625504119 and parameters: {'iterations': 151, 'learning_rate': 0.07459045355675362, 'objective': 'Logloss', 'colsample_bylevel': 0.5869742033616694, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.42955844415668376}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:15:39,191] Trial 19 finished with value: 0.8025823593604201 and parameters: {'iterations': 248, 'learning_rate': 0.5243940103110963, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.7377736310020766, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 9.785842235517066}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:16:00,579] Trial 20 finished with value: 0.8133145304281966 and parameters: {'iterations': 219, 'learning_rate': 0.19484625271596384, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.23801270136120906, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.6492484542471031}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:16:06,949] Trial 21 finished with value: 0.8163331347605969 and parameters: {'iterations': 140, 'learning_rate': 0.39189517243886446, 'objective': 'Logloss', 'colsample_bylevel': 0.8304461150026885, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.6129528902399036}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:16:13,908] Trial 22 finished with value: 0.8137753773321312 and parameters: {'iterations': 159, 'learning_rate': 0.48366853231099033, 'objective': 'Logloss', 'colsample_bylevel': 0.7536828303324171, 'depth': 8, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.6686063376817579}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:16:16,932] Trial 23 finished with value: 0.806523219830563 and parameters: {'iterations': 98, 'learning_rate': 0.06519026855912395, 'objective': 'Logloss', 'colsample_bylevel': 0.4599232575907028, 'depth': 7, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.8822872270764607}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:16:33,058] Trial 24 finished with value: 0.8175908206677317 and parameters: {'iterations': 127, 'learning_rate': 0.220436358524187, 'objective': 'Logloss', 'colsample_bylevel': 0.6611881531950761, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.48750277273098774}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:16:50,087] Trial 25 finished with value: 0.8168360685409825 and parameters: {'iterations': 128, 'learning_rate': 0.1626443353952536, 'objective': 'Logloss', 'colsample_bylevel': 0.5662071831560708, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'MVS', 'subsample': 0.37881359065338127}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:17:55,763] Trial 26 finished with value: 0.8140693177005629 and parameters: {'iterations': 178, 'learning_rate': 0.06455187647611654, 'objective': 'Logloss', 'colsample_bylevel': 0.6665393312930757, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bernoulli', 'subsample': 0.5010585423216456}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:18:07,379] Trial 27 finished with value: 0.8157462029553949 and parameters: {'iterations': 88, 'learning_rate': 0.21370357228255576, 'objective': 'Logloss', 'colsample_bylevel': 0.5446681669122322, 'depth': 9, 'boosting_type': 'Plain', 'bootstrap_type': 'Bernoulli', 'subsample': 0.3111507720529868}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:18:42,465] Trial 28 finished with value: 0.8165847070876409 and parameters: {'iterations': 199, 'learning_rate': 0.5452214583259599, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.3921540203659992, 'depth': 8, 'boosting_type': 'Ordered', 'bootstrap_type': 'Bayesian', 'bagging_temperature': 0.2412702239276987}. Best is trial 0 with value: 0.8196870809983464.
[I 2025-04-07 22:19:42,706] Trial 29 finished with value: 0.7963776994030518 and parameters: {'iterations': 155, 'learning_rate': 0.0036417739593603356, 'objective': 'CrossEntropy', 'colsample_bylevel': 0.840934691775419, 'depth': 9, 'boosting_type': 'Ordered', 'bootstrap_type': 'MVS', 'subsample': 0.7283208081999628}. Best is trial 0 with value: 0.8196870809983464.
